REGION,ARCHIVES_METRIC,FZ44_SEC,FZ223_SEC,PP615_SEC,FILE_NAMES_XML,FILES_PROCESSED,LINKS_44,LINKS_223,CONTRACTS_44,CONTRACTS_223,CONTRACTS_615
1,0,4.045,7.579,0.0,0,0,0,0,0,0,0
10,8,39.266,12.157,0.0,47,47,48,1,7,1,0
15,8,32.864,12.125,0.0,56,56,38,0,2,0,0
16,14,46.695,33.983,0.0,349,349,324,29,40,7,0
18,10,47.188,15.369,0.0,108,108,192,2,35,1,0
2,0,4.249,7.731,0.0,0,0,0,0,0,0,0
20,4,29.162,10.625,0.0,12,12,6,0,1,0,0
21,8,43.47,14.378,0.0,93,93,151,9,25,1,0
23,16,99.033,26.969,0.0,445,445,323,33,56,9,0
26,9,45.375,17.33,0.0,153,153,154,30,24,7,0
29,6,36.893,14.54,0.0,84,84,54,18,8,4,0
30,7,36.165,12.39,0.0,73,73,114,8,13,2,0
31,7,39.146,12.867,0.0,61,61,27,6,4,1,0
32,8,37.711,315.621,0.0,77,77,57,7,8,3,0
33,9,46.864,15.53,0.0,112,112,169,8,22,1,0
34,9,43.055,14.618,0.0,111,111,186,7,35,3,0
35,7,42.037,13.316,0.0,84,84,59,0,9,0,0
36,10,42.249,18.967,0.0,120,120,121,2,15,1,0
37,7,37.782,18.25,0.0,83,83,97,0,12,0,0
40,9,43.595,17.904,0.0,78,78,87,7,14,5,0
44,7,33.491,11.674,0.0,58,58,52,0,7,0,0
46,7,35.55,12.177,0.0,81,81,93,0,13,0,0
47,11,52.868,15.243,0.0,139,139,121,24,19,11,0
48,7,35.015,12.744,0.0,51,51,81,1,13,1,0
5,0,4.19,7.602,0.0,0,0,0,0,0,0,0
50,20,89.424,31.809,5.579,414,383,799,115,86,15,22
51,6,53.442,14.897,0.0,51,51,39,30,6,8,0
52,9,51.256,17.891,0.0,184,184,270,27,36,8,0
53,6,44.045,15.636,0.0,45,45,48,8,6,2,0
54,14,54.985,21.622,0.0,348,348,377,29,51,8,0
57,8,34.554,12.126,0.0,43,43,46,8,7,1,0
58,7,33.181,14.171,0.0,60,60,41,13,6,4,0
59,15,54.241,24.434,0.0,198,198,195,5,26,3,0
6,0,4.228,8.937,0.0,0,0,0,0,0,0,0
60,8,42.049,13.298,0.0,66,66,157,8,24,2,0
61,12,51.201,18.623,0.0,238,238,191,62,22,12,0
62,7,45.451,13.091,0.0,81,81,105,7,17,3,0
63,13,50.037,18.618,0.0,254,254,227,15,28,6,0
64,9,46.554,22.734,0.0,290,290,195,54,33,30,0
67,8,40.482,12.547,0.0,134,134,89,4,13,2,0
68,7,35.868,13.334,0.0,67,67,130,6,19,1,0
69,7,35.611,13.788,0.0,67,67,45,1,7,1,0
7,0,4.175,7.383,0.0,0,0,0,0,0,0,0
71,9,40.13,14.172,0.0,87,87,163,21,23,5,0
73,7,37.948,26.785,0.0,91,91,124,5,20,1,0
76,10,37.448,15.959,0.0,86,86,104,10,15,2,0
77,42,144.432,107.819,5.639,1211,1176,1502,314,137,82,10
78,16,100.524,24.781,0.0,580,580,926,93,117,18,0
8,0,4.824,11.49,0.0,0,0,0,0,0,0,0
9,0,4.419,8.037,0.0,0,0,0,0,0,0,0
90,6,29.293,11.45,0.0,13,13,0,4,0,1,0
91,8,41.259,16.62,0.0,153,153,141,0,13,0,0
92,9,32.834,14.207,0.0,43,43,40,1,8,1,0
93,6,29.093,13.054,0.0,7,7,0,0,0,0,0
94,5,30.07,11.496,0.0,15,15,15,0,3,0,0
